picto,xm,ym,xd,yd,Nom,Cap,Numero,Club
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,Auxerre
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
0,0,0,0,0,,,,"RC Lens"
