picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Vanaï,,1,Agen
1.5,150,270,275,155,Martinez,,2,Agen
1.5,45,270,275,265,Ryan,,3,Agen
1.5,200,225,225,110,Vernet,,4,Agen
1.5,100,225,225,200,Demotte,,5,Agen
1.5,250,180,185,35,Lokotui,,6,Agen
1.5,45,180,185,279,Farré,(C),7,Agen
1.5,150,180,185,155,Devergie,,8,Agen
1.5,205,135,135,75,Graou,,9,Agen
1.5,90,135,135,240,Lagarde,,10,Agen
1.5,275,90,85,15,Tolot,,11,Agen
1.5,195,90,85,110,Sloan,,12,Agen
1.5,100,90,85,205,Ramoka,,13,Agen
1.5,25,90,85,300,Rokoduru,,14,Agen
1.5,150,50,40,155,Lamoulie,,15,Agen
1.5,45,315,355,265,Innocente,,1,Mont-de-Marsan
1.5,150,315,355,155,Labouyrie,,2,Mont-de-Marsan
1.5,250,315,355,50,Macharashvili,,3,Mont-de-Marsan
1.5,200,360,405,200,Durand,,4,Mont-de-Marsan
1.5,100,360,405,110,Hézard,,5,Mont-de-Marsan
1.5,45,405,450,279,Lisena,,6,Mont-de-Marsan
1.5,250,405,450,35,Wavrin,,7,Mont-de-Marsan
1.5,150,405,450,155,Gouzou,,8,Mont-de-Marsan
1.5,90,450,500,240,Doubrère,,9,Mont-de-Marsan
1.5,205,450,500,75,"Du Plessis",(C),10,Mont-de-Marsan
1.5,25,495,545,300,Naituvi,,11,Mont-de-Marsan
1.5,105,495,545,205,Mensa,,12,Mont-de-Marsan
1.5,200,495,545,110,Desaubies,,13,Mont-de-Marsan
1.5,275,495,545,15,"De Nardi",,14,Mont-de-Marsan
1.5,150,535,590,155,Laousse-Azpiazu,,15,Mont-de-Marsan
