picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,vv,,1,Bayonne
1.5,150,270,275,155,vv,,2,Bayonne
1.5,45,270,275,265,vv,,3,Bayonne
1.5,200,225,225,110,vv,,4,Bayonne
1.5,100,225,225,200,vv,,5,Bayonne
1.5,250,180,185,35,vv,,6,Bayonne
1.5,45,180,185,279,vv,,7,Bayonne
1.5,150,180,185,155,vv,,8,Bayonne
1.5,205,135,135,75,vv,,9,Bayonne
1.5,90,135,135,240,vv,,10,Bayonne
1.5,275,90,85,15,vv,,11,Bayonne
1.5,195,90,85,110,vv,,12,Bayonne
1.5,100,90,85,205,vv,,13,Bayonne
1.5,25,90,85,300,vv,,14,Bayonne
1.5,150,50,40,155,vv,,15,Bayonne
1.5,45,315,355,265,vv,,1,"Racing 92"
1.5,150,315,355,155,xx,,2,"Racing 92"
1.5,250,315,355,50,xx,,3,"Racing 92"
1.5,200,360,405,200,xx,,4,"Racing 92"
1.5,100,360,405,110,xx,,5,"Racing 92"
1.5,45,405,450,279,xx,,6,"Racing 92"
1.5,250,405,450,35,xx,,7,"Racing 92"
1.5,150,405,450,155,xx,,8,"Racing 92"
1.5,90,450,500,240,xx,,9,"Racing 92"
1.5,205,450,500,75,xx,,10,"Racing 92"
1.5,25,495,545,300,vv,,11,"Racing 92"
1.5,105,495,545,205,vv,,12,"Racing 92"
1.5,200,495,545,110,vv,,13,"Racing 92"
1.5,275,495,545,15,vv,,14,"Racing 92"
1.5,150,535,590,155,vv,,15,"Racing 92"
