picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Tetrashvili,,1,Perpignan
1.5,150,270,275,155,Tadjer,,2,Perpignan
1.5,45,270,275,265,Joly,,3,Perpignan
1.5,200,225,225,110,Labouteley,,4,Perpignan
1.5,100,225,225,200,Eru,,5,Perpignan
1.5,250,180,185,35,Faasalele,,6,Perpignan
1.5,45,180,185,279,Ugena,,7,Perpignan
1.5,150,180,185,155,Chouly,,8,Perpignan
1.5,205,135,135,75,Landajo,,9,Perpignan
1.5,90,135,135,240,Tedder,,10,Perpignan
1.5,275,90,85,15,Duguivalu,,11,Perpignan
1.5,195,90,85,110,Taumoepeau,,12,Perpignan
1.5,100,90,85,205,Acébès,(C),13,Perpignan
1.5,25,90,85,300,Tilsley,,14,Perpignan
1.5,150,50,40,155,Jaminet,,15,Perpignan
1.5,45,315,355,265,"Fisi\'ihoi",,1,Pau
1.5,150,315,355,155,Rey,(C),2,Pau
1.5,250,315,355,50,Tokolahi,,3,Pau
1.5,200,360,405,200,Ducat,,4,Pau
1.5,100,360,405,110,Metz,,5,Pau
1.5,45,405,450,279,Whitelock,,6,Pau
1.5,250,405,450,35,Hewat,,7,Pau
1.5,150,405,450,155,Habel-Kuffner,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Hastoy,,10,Pau
1.5,25,495,545,300,Manu,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Decron,,13,Pau
1.5,275,495,545,15,Tuimaba,,14,Pau
1.5,150,535,590,155,Henry,,15,Pau
